Period,Year,Week,Pick_1,Pick 2,Pick 3,Pick 4
2015 16,2015,16,Cleveland,Tampa Bay,New England,Arizona
2015 17,2015,17,Houston,Kansas City,Los Angeles,Green Bay
2016 1,2016,1,Green Bay,Atlanta,Philadelphia,NY Giants
2016 2,2016,2,Detroit,Houston,Arizona,Oakland
2016 3,2016,3,Carolina,Pittsburgh,Indianapolis,Tampa Bay
2016 4,2016,4,Seattle,Baltimore,Detroit,Pittsburgh
2016 5,2016,5,New England,Pittsburgh,Dallas,Oakland
2016 6,2016,6,,,,
2016 7,2016,7,Philadelphia,Detroit,NY Jets,Seattle
2016 8,2016,8,Detroit,NY Jets,Kansas City,Denver
2016 9,2016,9,San Francisco,Los Angeles,Denver,LA Chargers
2016 10,2016,10,Houston,Washington,Green Bay,Chicago
2016 11,2016,11,Kansas City,Pittsburgh,New England,Seattle
2016 12,2016,12,Detroit,Tennessee,Baltimore,Atlanta
2016 13,2016,13,Dallas,Atlanta,Houston,Philadelphia
2016 14,2016,14,Tennessee,Indianapolis,Minnesota,Detroit
2016 15,2016,15,Baltimore,Green Bay,Kansas City,Pittsburgh
2016 16,2016,16,Washington,Green Bay,Tennessee,Houston
2016 17,2016,17,Tennessee,Minnesota,Pittsburgh,Kansas City
2017 1,2017,1,Houston,Philadelphia,Carolina,LA Rams
2017 2,2017,2,Pittsburgh,LA Chargers,Arizona,Tennessee
2017 3,2017,3,LA Rams,Carolina,Atlanta,Philadelphia
2017 4,2017,4,LA Rams,Jacksonville,Houston,Tampa Bay
2017 5,2017,5,Miiami,Baltimore,Philadelphia,Detroit
2017 6,2017,6,New Orleans,Baltimore,Tampa Bay,Kansas City
2017 7,2017,7,Jacksonville,Minnesota,Miami,Carolina
2017 8,2017,8,Atlanta,Tampa Bay,Philadelphia,New England
2017 9,2017,9,LA Rams,New Orleans,Jacksonville,Tennessee
2017 10,2017,10,Minnesota,Jacksonville,Tennessee,San Francisco
2017 11,2017,11,Baltimore,Jacksonville,Houston,Philadelphia
2017 12,2017,12,Carolina,Tennessee,Jacksonville,Oakland
2017 13,2017,13,Green Bay,Baltimore,New Orleans,Pittsburgh
2017 14,2017,14,Minnesota,Green Bay,Seattle,LA Chargers
2017 15,2017,15,Washington,Baltimore,San Francisco,Dallas
2017 16,2017,16,LA Chargers,LA Rams,Chicago,Washington
2017 17,2017,17,Atlanta,New Orleans,Jacksonville,Washington
2018 1,2018,1,Tennessee,LA Chargers,Carolina,Washington
2018 2,2018,2,NY Jet,NY Giants,Denver,Washington
2018 3,2018,3,Cincinnati,Philadelphia,Kansas City,New England
2018 4,2018,4,Indianapolis,Cincinnati,Philadelphia,Seattle
2018 5,2018,5,Baltimore,Kansas City,Green Bay,LA Chargers
2018 6,2018,6,LA Chargers,Atlanta,LA Rams,Baltimore
2018 7,2018,7,New England,Cincinnati,Houston,Atlanta
2018 8,2018,8,Washington,Cincinnati,Indianapolis,San Francisco
2018 9,2018,9,Minnesota,Kansas City,Carolina,LA Chargers
2018 10,2018,10,Atlanta,Indianapolis,Washington,Chicago
2018 11,2018,11,Carolina,Chicago,Indianapolis,Tampa Bay
2018 12,2018,12,Tampa Bay,Cincinnati,New England,Indianapolis
2018 13,2018,13,Indianapolis,Chicago,Denver,Arizona
2018 14,2018,14,Green Bay,Denver,Detroit,Kansas City
2018 15,2018,15,Minnesota,Chicago,NY Giants,Seattle
2018 16,2018,16,LA Chargers,Dallas,Houston,Chicago
2018 17,2018,17,Philadelphia,Indianapolis,Houston,Buffalo
2019 1,2019,1,Cleveland,LA Chargers,Kansas City,Seattle
2019 2,2019,2,Buffalo,Dallas,Kansas City,Chicago
2019 3,2019,3,Seattle,LA Rams,Buffalo,New England
2019 4,2019,4,Kansas City,Seattle,Minnesota,Atlanta
2019 5,2019,5,New England,Philadelphia,Cincinnati,LA Chargers
2019 6,2019,6,New England,Seattle,New Orleans,LA Chargers
2019 7,2019,7,,,,
2019 8,2019,8,,,,
2019 9,2019,9,,,,
2019 10,2019,10,,,,
2019 11,2019,11,,,,
2019 12,2019,12,,,,
2019 13,2019,13,,,,
2019 14,2019,14,,,,
2019 15,2019,15,,,,
2019 16,2019,16,,,,
2019 17,2019,17,,,,
